iter	Passed	Remaining
0	1	105
1	1	89
2	2	82
3	3	75
4	3	73
5	4	73
6	5	72
7	6	72
8	7	72
9	8	73
10	9	74
11	10	74
12	10	72
13	11	71
14	12	71
15	13	70
16	14	69
17	15	68
18	15	67
19	16	66
20	17	66
21	18	65
22	19	65
23	20	64
24	21	63
25	22	63
26	23	62
27	23	61
28	24	60
29	25	59
30	26	58
31	27	58
32	28	57
33	28	56
34	30	55
35	31	55
36	32	54
37	33	54
38	34	53
39	35	52
40	36	51
41	36	50
42	37	49
43	38	48
44	39	48
45	40	47
46	41	46
47	42	45
48	42	44
49	43	43
50	44	42
51	45	42
52	46	41
53	47	40
54	48	39
55	49	38
56	50	37
57	50	36
58	51	36
59	52	35
60	53	34
61	54	33
62	55	32
63	56	31
64	57	30
65	58	29
66	59	29
67	59	28
68	60	27
69	61	26
70	62	25
71	63	24
72	64	23
73	65	23
74	66	22
75	67	21
76	68	20
77	69	19
78	70	18
79	71	17
80	72	16
81	73	16
82	74	15
83	74	14
84	75	13
85	76	12
86	77	11
87	78	10
88	79	9
89	80	8
90	81	8
91	82	7
92	83	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	89	0
99	89	0
